Index,Sample ID,Pressure (PSI),Welding Time (ms),Angle (Deg),Force (N),Current (A),Thickness A (mm),Thickness B (mm),Thickness A+B (mm),Prediction,Ground Truth,Absolute Error
49,373,60,600,15,93.17,3103.52,0.614,0.623,1.237,2974.5503,1726.1,1248.45029296875
7,30,95,1500,15,133.53,1304.9,0.949,0.994,1.943,4135.8184,5277.7,1141.8816406249998
40,378,60,600,15,94.96,3402.77,0.623,0.652,1.275,3045.6816,2168.1,877.5816406250001
57,22,35,1500,15,54.11,1440.24,0.93,0.946,1.876,4161.5645,4952.0,790.435546875
48,7,35,1500,0,63.82,1137.29,0.93,0.937,1.867,4337.49,3897.5,439.990234375
