Index,Sample ID,Pressure (PSI),Welding Time (ms),Angle (Deg),Force (N),Current (A),Thickness A (mm),Thickness B (mm),Material,PullTest (N),NuggetDiameter (mm),Category,Comments,Thickness A+B (mm),Prediction,Ground Truth,Absolute Error
49,373,60,600,15,93.17,3103.52,0.614,0.623,AISI 1010 carbon steel,1726.1,3.57,Explode,,1.237,2959.5483870967746,1726.1,1233.4483870967747
40,378,60,600,15,94.96,3402.77,0.623,0.652,AISI 1010 carbon steel,2168.1,3.42,Explode,,1.275,2959.5483870967746,2168.1,791.4483870967747
7,30,95,1500,15,133.53,1304.9,0.949,0.994,AISI 1010 carbon steel,5277.7,3.91,Good,DOE,1.943,4582.171428571429,5277.7,695.528571428571
48,7,35,1500,0,63.82,1137.29,0.93,0.937,AISI 1010 carbon steel,3897.5,4.72,Good,DOE,1.867,4582.171428571429,3897.5,684.6714285714288
61,23,35,200,15,6.74,977.91,0.933,0.935,AISI 1010 carbon steel,2710.5,2.68,Bad,DOE,1.868,2192.2799999999997,2710.5,518.2200000000003
