Index,Sample ID,Pressure (PSI),Welding Time (ms),Angle (Deg),Force (N),Current (A),Thickness A (mm),Thickness B (mm),Material,PullTest (N),NuggetDiameter (mm),Category,Comments,Thickness A+B (mm),Prediction,Ground Truth,Absolute Error
49,373,60,600,15,93.17,3103.52,0.614,0.623,AISI 1010 carbon steel,1726.1,3.57,Explode,,1.237,2808.375,1726.1,1082.275
40,378,60,600,15,94.96,3402.77,0.623,0.652,AISI 1010 carbon steel,2168.1,3.42,Explode,,1.275,2948.0499999999997,2168.1,779.9499999999998
7,30,95,1500,15,133.53,1304.9,0.949,0.994,AISI 1010 carbon steel,5277.7,3.91,Good,DOE,1.943,4616.225,5277.7,661.4749999999995
50,36,60,1000,0,77.37,3176.92,0.647,0.638,AISI 1010 carbon steel,3608.1,4.02,Good,,1.285,3042.625,3608.1,565.4749999999999
61,23,35,200,15,6.74,977.91,0.933,0.935,AISI 1010 carbon steel,2710.5,2.68,Bad,DOE,1.868,2196.65,2710.5,513.8499999999999
