Index,Sample ID,Pressure (PSI),Welding Time (ms),Angle (Deg),Force (N),Current (A),Thickness A (mm),Thickness B (mm),Material,PullTest (N),NuggetDiameter (mm),Category,Comments,Thickness A+B (mm),Prediction,Ground Truth,Absolute Error
176,29,95,1500,15,122.48,1252.44,0.947,0.957,AISI 1010 carbon steel,5158.6,3.7,Explode,DOE,1.904,3554.0317,5158.6,1604.5682617187504
92,15,35,1500,0,46.58,1123.59,0.931,0.938,AISI 1010 carbon steel,5634.8,4.55,Good,DOE,1.869,4285.1523,5634.8,1349.6476562500002
154,478,60,1200,0,98.02,2591.95,0.631,0.617,AISI 1010 carbon steel,1720.7,2.62,Explode,,1.248,2913.3828,1720.7,1192.6828125
33,2,35,1500,0,52.25,2014.73,0.92,0.925,AISI 1010 carbon steel,5346.4,3.34,Good,DOE,1.845,4154.1895,5346.4,1192.2105468749996
137,400,60,400,15,94.56,3651.47,0.613,0.608,AISI 1010 carbon steel,1775.7,2.37,Bad,,1.221,2893.1064,1775.7,1117.4064453125
